Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
77,20,3,41,3,Some Random Commen with Id 77
78,20,3,49,9,Some Random Commen with Id 78
79,20,3,188,4,Some Random Commen with Id 79
80,20,3,35,2,Some Random Commen with Id 80
81,20,3,114,4,Some Random Commen with Id 81
82,22,5,119,9,Some Random Commen with Id 82
83,22,5,71,3,Some Random Commen with Id 83
84,22,5,167,4,Some Random Commen with Id 84
85,22,5,46,2,Some Random Commen with Id 85
86,22,5,34,0,Some Random Commen with Id 86
87,22,5,134,1,Some Random Commen with Id 87
88,22,5,63,3,Some Random Commen with Id 88
89,22,5,142,9,Some Random Commen with Id 89
90,22,5,98,4,Some Random Commen with Id 90
91,23,4,126,4,Some Random Commen with Id 91
92,23,4,188,7,Some Random Commen with Id 92
93,23,4,5,9,Some Random Commen with Id 93
94,23,4,123,1,Some Random Commen with Id 94
95,23,4,99,0,Some Random Commen with Id 95
96,23,4,99,2,Some Random Commen with Id 96
97,23,4,107,2,Some Random Commen with Id 97
98,23,4,151,2,Some Random Commen with Id 98
99,24,9,182,5,Some Random Commen with Id 99
100,24,9,31,5,Some Random Commen with Id 100
101,26,1,100,2,Some Random Commen with Id 101
102,26,1,85,1,Some Random Commen with Id 102
103,26,1,18,1,Some Random Commen with Id 103
104,27,7,76,6,Some Random Commen with Id 104
105,27,7,69,8,Some Random Commen with Id 105
106,27,7,137,6,Some Random Commen with Id 106
107,27,7,75,3,Some Random Commen with Id 107
108,27,7,34,7,Some Random Commen with Id 108
109,27,7,86,3,Some Random Commen with Id 109
110,27,7,5,9,Some Random Commen with Id 110
111,27,7,91,1,Some Random Commen with Id 111
112,27,7,32,7,Some Random Commen with Id 112
113,28,1,66,3,Some Random Commen with Id 113
114,28,1,40,1,Some Random Commen with Id 114
115,28,1,181,2,Some Random Commen with Id 115
116,28,1,129,7,Some Random Commen with Id 116
117,28,1,24,5,Some Random Commen with Id 117
118,28,1,169,0,Some Random Commen with Id 118
119,28,1,9,8,Some Random Commen with Id 119
120,28,1,30,0,Some Random Commen with Id 120
121,28,1,87,3,Some Random Commen with Id 121
122,29,0,190,7,Some Random Commen with Id 122
123,29,0,131,4,Some Random Commen with Id 123
124,30,6,71,6,Some Random Commen with Id 124
125,30,6,8,0,Some Random Commen with Id 125
126,30,6,179,2,Some Random Commen with Id 126
127,30,6,2,8,Some Random Commen with Id 127
128,31,5,85,8,Some Random Commen with Id 128
129,31,5,89,1,Some Random Commen with Id 129
130,31,5,97,3,Some Random Commen with Id 130
131,31,5,136,6,Some Random Commen with Id 131
132,31,5,174,2,Some Random Commen with Id 132
133,31,5,181,5,Some Random Commen with Id 133
134,34,1,111,1,Some Random Commen with Id 134
135,34,1,73,1,Some Random Commen with Id 135
136,34,1,170,6,Some Random Commen with Id 136
137,34,1,179,3,Some Random Commen with Id 137
138,34,1,114,0,Some Random Commen with Id 138
139,35,5,161,4,Some Random Commen with Id 139
140,35,5,73,1,Some Random Commen with Id 140
141,35,5,2,8,Some Random Commen with Id 141
142,36,3,25,9,Some Random Commen with Id 142
143,36,3,15,1,Some Random Commen with Id 143
144,37,0,15,6,Some Random Commen with Id 144
145,37,0,8,0,Some Random Commen with Id 145
146,38,8,182,4,Some Random Commen with Id 146
147,38,8,72,7,Some Random Commen with Id 147
148,38,8,81,4,Some Random Commen with Id 148
149,38,8,179,9,Some Random Commen with Id 149
150,38,8,77,5,Some Random Commen with Id 150
151,38,8,115,9,Some Random Commen with Id 151
152,38,8,166,6,Some Random Commen with Id 152
153,38,8,196,0,Some Random Commen with Id 153
154,38,8,191,0,Some Random Commen with Id 154
155,39,0,142,3,Some Random Commen with Id 155
156,39,0,72,8,Some Random Commen with Id 156
